tanu,arrival_time_w1,w1_total_flow_first10s,h_step1,h_step2,h_step3,h_step4,h_step5,h_step6,h_step7,h_step8,h_step9,h_step10,v_step1,v_step2,v_step3,v_step4,v_step5,v_step6,v_step7,v_step8,v_step9,v_step10,f_step1,f_step2,f_step3,f_step4,f_step5,f_step6,f_step7,f_step8,f_step9,f_step10,arrival_time_w2,interval_w1_w2,w2_max_h,w2_max_v,w2_max_q,w2_total_flow
0.500000,7.647000,427.710000,1.338000,1.396000,1.476000,1.454000,1.400000,1.340000,1.363000,1.267000,1.216000,1.140000,6.595000,5.484000,5.115000,4.338000,3.873000,3.403000,3.070000,2.777000,2.471000,2.141000,70.600000,61.240000,60.380000,50.470000,43.370000,36.480000,33.470000,28.150000,24.030000,19.520000,23.930000,16.283000,0.491500,5.191000,22.440000,272.210000
0.522200,7.360000,393.420000,0.990200,1.415000,1.371000,1.470000,1.388000,1.353000,1.298000,1.218000,1.198000,1.134000,6.687000,5.741000,4.960000,4.378000,3.867000,3.362000,2.830000,2.455000,2.130000,1.825000,52.970000,64.970000,54.390000,51.470000,42.950000,36.400000,29.380000,23.930000,20.410000,16.550000,24.710000,17.350000,0.460500,4.669000,20.070000,219.780000
0.544400,7.199000,350.010000,0.787400,1.207000,1.285000,1.355000,1.316000,1.421000,1.319000,1.291000,1.294000,1.219000,6.582000,5.717000,4.919000,4.286000,3.616000,3.210000,2.532000,2.131000,1.791000,1.486000,41.460000,55.220000,50.560000,46.460000,38.080000,36.490000,26.710000,22.010000,18.530000,14.490000,26.600000,19.401000,0.400500,4.168000,14.560000,160.373000
0.566700,7.971000,277.096000,0.995600,1.204000,1.296000,1.287000,1.272000,1.252000,1.200000,1.209000,1.140000,1.088000,5.697000,4.809000,4.198000,3.524000,2.870000,2.307000,1.845000,1.576000,1.241000,1.036000,45.380000,46.300000,43.520000,36.290000,29.210000,23.110000,17.710000,15.240000,11.320000,9.016000,28.280000,20.309000,0.298000,3.481000,8.929000,85.560000
0.588900,7.539000,244.275000,0.693200,1.035000,1.212000,1.220000,1.221000,1.202000,1.217000,1.185000,1.129000,1.096000,5.839000,4.951000,4.237000,3.644000,2.898000,2.344000,1.729000,1.240000,0.942200,0.717500,32.380000,41.000000,41.090000,35.560000,28.310000,22.540000,16.830000,11.760000,8.513000,6.292000,31.100000,23.561000,0.190500,2.710000,3.914000,31.863000
0.611100,8.359000,181.305000,0.824300,1.061000,1.180000,1.158000,1.169000,1.116000,1.063000,1.032000,0.994500,0.929600,5.007000,4.260000,3.494000,2.647000,2.132000,1.538000,1.069000,0.659900,0.459500,0.368100,33.020000,36.160000,32.990000,24.520000,19.940000,13.740000,9.091000,5.451000,3.656000,2.737000,35.790000,27.431000,0.096400,2.065000,1.902000,7.996000
0.633300,7.944000,151.857000,0.608800,0.839800,1.007000,1.097000,1.109000,1.066000,1.043000,0.997500,0.973500,0.912500,5.015000,4.279000,3.654000,2.819000,2.073000,1.402000,0.854800,0.478300,0.244800,0.178800,24.420000,28.750000,29.440000,24.740000,18.400000,11.950000,7.129000,3.817000,1.906000,1.305000,,,0.000000,0.000000,0.000000,0.000000
0.655600,8.558000,106.364600,0.607300,0.839400,0.949000,0.934600,0.964000,0.931600,0.915500,0.867300,0.846500,0.815200,4.380000,3.719000,2.911000,2.193000,1.488000,0.814400,0.266600,0.116800,0.114900,0.081900,21.280000,24.970000,22.100000,16.400000,11.470000,6.070000,1.952000,0.810500,0.778000,0.534100,,,0.000000,0.000000,0.000000,0.000000
0.677800,8.193000,82.433600,0.471800,0.617500,0.806400,0.830000,0.837800,0.818100,0.815800,0.777900,0.771600,0.766200,4.292000,3.694000,3.045000,2.198000,1.292000,0.583800,0.099060,0.048870,0.028930,0.020600,16.200000,18.250000,19.650000,14.600000,8.657000,3.821000,0.646600,0.304100,0.178600,0.126300,,,0.000000,0.000000,0.000000,0.000000
0.700000,9.183000,49.073980,0.504700,0.611600,0.682300,0.706000,0.713800,0.716900,0.711900,0.705000,0.697800,0.690200,3.500000,2.792000,1.981000,1.211000,0.521800,0.048110,0.012090,0.016720,0.017900,0.021190,14.130000,13.660000,10.810000,6.838000,2.980000,0.275900,0.068850,0.094300,0.099930,0.117000,,,0.000000,0.000000,0.000000,0.000000
0.500000,7.776000,439.800000,1.473000,1.506000,1.473000,1.574000,1.505000,1.408000,1.336000,1.290000,1.255000,1.173000,6.444000,5.495000,4.840000,4.301000,3.841000,3.453000,2.965000,2.637000,2.294000,2.071000,75.920000,66.190000,57.030000,54.170000,46.250000,38.880000,31.700000,27.220000,23.020000,19.420000,23.010000,15.234000,0.502000,5.158000,25.000000,321.430000
0.522200,7.437000,405.120000,1.130000,1.396000,1.487000,1.507000,1.415000,1.457000,1.352000,1.304000,1.223000,1.181000,6.578000,5.597000,4.868000,4.314000,3.811000,3.267000,2.796000,2.400000,2.049000,1.762000,59.490000,62.520000,57.900000,52.020000,43.130000,38.070000,30.240000,25.040000,20.050000,16.660000,24.690000,17.253000,0.429200,4.778000,18.500000,260.150000
0.544400,7.991000,338.720000,1.246000,1.373000,1.471000,1.393000,1.395000,1.395000,1.353000,1.251000,1.216000,1.134000,5.779000,5.013000,4.349000,3.741000,3.215000,2.708000,2.276000,1.800000,1.417000,1.177000,57.590000,55.050000,51.190000,41.690000,35.870000,30.220000,24.640000,18.010000,13.780000,10.680000,25.440000,17.449000,0.396300,4.298000,14.430000,178.734000
0.566700,7.878000,297.483000,1.018000,1.317000,1.329000,1.354000,1.347000,1.362000,1.312000,1.259000,1.162000,1.119000,5.903000,4.866000,4.202000,3.526000,2.971000,2.407000,1.976000,1.520000,1.179000,1.116000,48.070000,51.290000,44.680000,38.200000,32.010000,26.230000,20.740000,15.310000,10.960000,9.993000,27.200000,19.322000,0.299500,3.749000,10.290000,109.419000
0.588900,7.544000,262.810000,0.766300,1.074000,1.265000,1.365000,1.351000,1.233000,1.216000,1.224000,1.212000,1.130000,5.921000,5.080000,4.240000,3.593000,2.963000,2.205000,1.723000,1.343000,1.021000,0.787300,36.300000,43.670000,42.910000,39.230000,32.010000,21.760000,16.770000,13.150000,9.892000,7.118000,29.830000,22.286000,0.253000,3.178000,6.144000,56.460000
0.611100,8.180000,193.812000,0.845000,1.098000,1.265000,1.190000,1.229000,1.248000,1.211000,1.159000,1.076000,1.021000,5.207000,4.305000,3.540000,2.805000,2.215000,1.550000,1.011000,0.560700,0.349900,0.364400,35.200000,37.830000,35.820000,26.720000,21.780000,15.470000,9.802000,5.200000,3.012000,2.978000,33.670000,25.490000,0.117900,2.188000,2.246000,13.260000
0.633300,7.879000,159.828800,0.639500,0.855200,1.073000,1.161000,1.108000,1.037000,1.059000,1.013000,0.973700,0.918100,5.170000,4.438000,3.674000,2.897000,2.147000,1.459000,0.912500,0.448700,0.171600,0.096090,26.450000,30.360000,31.550000,26.910000,19.040000,12.110000,7.729000,3.637000,1.337000,0.705800,,,0.000000,0.000000,0.000000,0.000000
0.655600,8.449000,116.068500,0.655300,0.872600,1.007000,1.056000,1.009000,0.970600,0.972000,0.942100,0.901200,0.879000,4.539000,3.886000,3.008000,2.217000,1.409000,0.827100,0.305600,0.103300,0.087120,0.085830,23.800000,27.130000,24.230000,18.730000,11.370000,6.422000,2.376000,0.778800,0.628100,0.603600,,,0.000000,0.000000,0.000000,0.000000
0.677800,8.428000,89.217900,0.571200,0.722700,0.810500,0.913900,0.912000,0.872100,0.861200,0.842500,0.842300,0.818200,4.416000,3.686000,2.865000,2.051000,1.267000,0.589200,0.035700,0.025340,0.027970,0.029890,20.180000,21.310000,18.570000,15.000000,9.247000,4.110000,0.245900,0.170800,0.188500,0.195700,,,0.000000,0.000000,0.000000,0.000000
0.700000,8.330000,68.913570,0.475900,0.590500,0.675500,0.715900,0.772500,0.767100,0.731500,0.713800,0.706800,0.701800,4.139000,3.626000,2.702000,1.935000,1.181000,0.423000,0.016980,0.017150,0.023110,0.021300,15.760000,17.130000,14.600000,11.080000,7.300000,2.596000,0.099350,0.097920,0.130700,0.119600,,,0.000000,0.000000,0.000000,0.000000
0.500000,6.987000,487.780000,0.971400,1.523000,1.553000,1.591000,1.627000,1.532000,1.492000,1.363000,1.297000,1.220000,7.383000,6.254000,5.552000,4.790000,4.394000,3.807000,3.325000,2.871000,2.651000,2.249000,57.380000,76.180000,68.960000,60.960000,57.170000,46.650000,39.700000,31.320000,27.510000,21.950000,23.230000,16.243000,0.527400,5.408000,28.030000,337.660000
